cid	text	author	votes	heart	paid	category	Entext	flair_sent_fast	flair_sent_en	pysent_sent	pysent_emot	pysent_hate	offense
UgwmqM0I1n3BdXLTAHx4AaABAg	ദൈവമേ ചക്ക തിന്നാൻ കൊതിയാവുന്നു മൊറോക്കോയിൽ ചക്ക കിട്ടൂലാ വീട്ടിൽ ഇരുന്ന് പാചക പരീക്ഷണങ്ങൾ ചെയ്യുന്ന ഹാരിസ് ഇക്ക റൊക്സ് 	Tech Travel Eat by Sujith Bhakthan	216	True	None	People_and_Blogs	Oh my God I want to eat jackfruit Harris Ika Rox doing cooking experiments sitting at home and getting jackfruit in Morocco	('POSITIVE', 0.967742383480072)	('POSITIVE', 0.7495096325874329)	POS: 	surprise: 	:	1
UgydqUbxe9hGPKLCyIZ4AaABAg	ദൈവം മനുഷ്യന് തന്ന ബുദ്ധി ഒരിക്കലും മനുഷ്യന് റോബോട്ടിന് കൊടുക്കാൻ കഴിയില്ലെന്ന് മനസ്സിലായി	റോബിൻ ജോസഫ്	19	True	None	People_and_Blogs	It was realized that the intelligence that God gave to man can never be given to a robot by man	('NEGATIVE', 0.6880910992622375)	('POSITIVE', 0.6720093488693237)	NEU: 	others: 	:	1
Ugwknd6uV_fE6q78Sg54AaABAg	അവരെ  സഹായിക്കാൻ  താങ്കൾ  നടത്തുന്ന എല്ലാ അധ്വാനത്തിനും ഫലമുണ്ടാകട്ടെ ദൈവം താങ്കളെ അനുഗ്രഹിക്കട്ടെ	edicare DECARBONISING	18	True	None	People_and_Blogs	May God bless you for all your efforts to help them	('POSITIVE', 0.8216693997383118)	('POSITIVE', 0.9909714460372925)	POS: 	joy: 	:	1
UgzTV7_9VaYc1o2M5jd4AaABAg	എല്ലാത്തിനെ കളും ഉപരി എനിക്ക് ഇഷ്ടമായത് നിങ്ങളുടെ നിഷ്കളങ്കമായ അവതരണം ആണ് ദൈവം അനുഗ്രഹികട്ടെ കൂടുതൽ മുകളിലൊക്ക് എത്തട്ടെന്ന് ആത്മാർത്ഥമായി പ്രാർത്ഥിക്കനു	O	19	True	None	People_and_Blogs	What I love above all is your innocent presentation and sincerely pray that God bless you to reach more heights.	('POSITIVE', 0.9969870448112488)	('POSITIVE', 0.9909355044364929)	POS: 	joy: 	:	1
Ugxi8KMWhdocfaneAyh4AaABAg	മിസ്റ്റർ ഒളിമ്പിയ പട്ടം കിട്ടാൻ ദൈവം നിങ്ങളെ അനുഗ്രഹിക്കട്ടെ	Paul mathew	22	False	None	People_and_Blogs	May God bless you to win Mr. Olympia title	('POSITIVE', 0.9321486353874207)	('POSITIVE', 0.9983773231506348)	POS: 	joy: 	:	1
Ugzhw3VsRbTiIkWYBuF4AaABAg	നിസാര കാര്യത്തിന് വേണ്ടി ജീവിതം അവസാനിപ്പിക്കുന്നവർക്ക് ഈ ഒരു ജീവിതം ഒരു മുതൽ കൂട്ടാണ് ഇനിയും ഒരുപാട് വിജയം നേടാൻ ചേച്ചിക്ക് ദൈവം അനുഗ്രഹിക്കട്ടെ 	Sneha Sneha	543	False	None	People_and_Blogs	For those who end their lives for a trivial matter, this one life is a beginning. May God bless you to achieve many more successes.	('POSITIVE', 0.987649142742157)	('POSITIVE', 0.9971068501472473)	POS: 	joy: 	:	1
UgyQ-OUAusKW5_mAv0d4AaABAg	കഴിഞ്ഞുപോയ വിഷമങ്ങൾ എല്ലാം പറയുമ്പോഴും ഗുലാമിന്റെ മുഖത്തുള്ള ആ ചിരിഎത്ര മനോഹരമായാണ് ഇദ്ദേഹം നേരിട്ട പ്രതിസന്ധികളെ ഓർത്തെടുക്കുന്നത്	Aagneya Nakshathra	29	False	None	People_and_Blogs	How beautiful is the smile on Ghulam's face even when he is talking about all the troubles he faced when he remembers the difficulties he faced	('POSITIVE', 0.9955910444259644)	('POSITIVE', 0.9984800219535828)	POS: 	joy: 	:	1
UgxWaYXmqrISAb7vA4d4AaABAg	ജോലി തേടുന്ന എല്ലാരേം ഈശ്വരൻ അനുഗ്രഹിക്കട്ടെ	Ammu Ammus	110	True	None	People_and_Blogs	God bless all job seekers	('POSITIVE', 0.9788702726364136)	('POSITIVE', 0.9974247217178345)	POS: 	joy: 	:	1
Ugwhc1t0AxL-ShWrnn94AaABAg	ത്രില്ല് കണ്ടത്തുന്നവരിലാണ് മാറ്റങ്ങൾ ഉണ്ടാവുക - നിങ്ങൾ നിങ്ങളിൽ തന്നെ ഒരു മാറ്റം കണ്ടു പിടിക്കാത്ത കാലത്തോളം നിങ്ങളിൽ ഒരു മാറ്റം ദൈവം പടക്കില്ല ഖുർആൻ 13 - 11-രണ്ട് വഴി	Shameer Kaliyadan	23	False	None	People_and_Blogs	Change is in those who find the thrill - God will not create a change in you until you find a change in yourself Qur'an 13 - 11 - Two Ways	('POSITIVE', 0.9892276525497437)	('POSITIVE', 0.9602144360542297)	POS:  	others: 	:	1
UgyS7uvBatsRDZgpnGh4AaABAg	മനസ്സിൽ സൂക്ഷിച്ച പല സത്യം എന്ന് വിചാരിച്ച മണ്ടത്തരങ്ങളും ഇവിടെ പൊളിഞ്ഞു വീഴുമ്പോൾ സന്തോഷം തന്നെ 	Linson Mathews	272	True	None	People_and_Blogs	It is a joy when many stupid things that were thought to be the truth fall apart here	('POSITIVE', 0.9491611123085022)	('POSITIVE', 0.9910191893577576)	NEG: 	disgust: 	:	1
UgwUfx-kk8msRAK3m854AaABAg	നിങ്ങളുടെ നിഷ്കളങ്കതയാണ് ഇക്ക നിങ്ങളുടെ വിജയം ഒരുപാട് ഉയരങ്ങളിൽ എത്താൻ സർവേശ്വരൻ അനുഗ്രഹിക്കട്ടെ 	Dhanesh S Nair	191	True	None	People_and_Blogs	May God bless you with your innocence so that your success reaches many heights	('POSITIVE', 0.9983793497085571)	('POSITIVE', 0.9957312941551208)	POS: 	joy: 	:	1
UgxblwEUEfhESuAPR-N4AaABAg	ഏതായാലും നാരങ്ങ പൊക്കുന്ന ദൈവം നല്ലമതസൗഹാർദം ഉള്ള ദൈവമാണ് രണ്ട് കൂട്ടരെയും പിണക്കിയിട്ടില്ല	സകല ഗുലാബി	28	False	None	People_and_Blogs	In any case, the God who grows lemons is a God of good religious harmony and has not entangled the two groups	('POSITIVE', 0.9550121426582336)	('POSITIVE', 0.9907163381576538)	NEU:  	others: 	:	1
UgyLqc2BO9jc4aurps94AaABAg	സ്വപ്ന നിന്നോട് വല്ലാത്ത സ്നേഹവും ബഹുമാനവും തോന്നുന്നു ഇതിൽ നിന്നെല്ലാം ദൈവം രക്ഷിക്കും വേദനിക്കാതെ ഇരിക്കുക	krishna pillai	334	False	None	People_and_Blogs	Swapna, I feel so much love and respect for you, God will save you from all this, don't be hurt	('POSITIVE', 0.9924853444099426)	('POSITIVE', 0.9975334405899048)	POS: 	joy:  	:	1
UgyxlguM_esMJERRZxl4AaABAg	സാജൻ നിങ്ങൾ സത്യമാണ് നിങ്ങൾ ഇല്ല എങ്കിൽ സപ്ന ഇല്ല അതുപോലെ പല സത്യങ്ങളും ഇല്ലാതാകും ഗോഡ് ബ്ലെസ് യൂ നിങ്ങളുടെ സ്വപ്നയുമായുള്ള ഇന്റർവ്യൂ അത് സത്യം പുറത്തു കൊണ്ടുവരുന്നതാണ്	Modern Vasthu	490	False	None	People_and_Blogs	Sajan you are the truth if you are not there is no sapna and so many truths will disappear God bless you interview with your sapna it will bring out the truth	('POSITIVE', 0.9882920384407043)	('POSITIVE', 0.9946175217628479)	NEU: 	joy:  	:	1
UgwhV90_mznCNe6F8TF4AaABAg	സ്ത്രീ ശാക്തീകരണമെന്ന് പറഞ്ഞു നടക്കുന്നവർ തന്നെയാണ് ഇതിന് പിന്നിൽ ദൈവം സാക്ഷി	Gman	81	False	None	People_and_Blogs	God is the witness behind this who are talking about women empowerment	('POSITIVE', 0.6833244562149048)	('POSITIVE', 0.9908137917518616)	NEU:  	others: 	:	1
UgyxlguM_esMJERRZxl4AaABAg.9cNICfNSt3-9cNaDMojyLN	സാജൻ സർനന്ദി ദൈവാനുഗ്രഹം ഉണ്ടാകട്ടെ 	martin jc	2	False	None	People_and_Blogs	God bless Sajan Sarnandi	('POSITIVE', 0.9215054512023926)	('POSITIVE', 0.9964828491210938)	POS: 	joy: 	:	1
UgyxlguM_esMJERRZxl4AaABAg.9cNICfNSt3-9cNnDpNv4Gu	സ്വപ്ന ധൈര്യം ആയിട്ടുഇരിക്ക്ദൈവം കുടെയുണ്ടാകും	Rathi Das	1	False	None	People_and_Blogs	If you have the courage to dream, God will help you	('POSITIVE', 0.9820249080657959)	('POSITIVE', 0.994924783706665)	POS: 	joy:  	:	1
Ugz6mGEMhhxHsI1KTQx4AaABAg	കേരളം കത്തുന്നു അധികാരം അവരുടെ സിബന്ധികളുടെ കയ്യിൽ കേരളം നാശത്തിലേക്ക് രക്ഷിക്കൂ ദൈവമെ	David Ktda	554	False	None	People_and_Blogs	Kerala is burning power in the hands of their Sibandhi save Kerala from destruction God	('POSITIVE', 0.8358951210975647)	('POSITIVE', 0.99598628282547)	NEG: 	others: 	:	1
UgyVGZMolUET1LUaOlx4AaABAg	ദൈവമെ ഇവർക്ക് ന്യായം നടത്തികൊടുക്കണെതെററു ചെയ്തവർ പുറത്ത് സുഖമായി ജീവിക്കുന്നുസ്വപ്നക്ക് നീതി കിട്ടണെ	Alphonsa John	80	False	None	People_and_Blogs	May God give justice to them. Those who have done wrong are living comfortably outside. They should get justice	('POSITIVE', 0.8493595719337463)	('POSITIVE', 0.8322386741638184)	NEU:  	sadness: 	:	1
Ugw7Cd9QxQLxWK0JOG94AaABAg.9cNGu9CGo3B9cNRk3uHf8f	അയ്യോ പാവം  പെൺകുട്ടി  ല്ലേ  ചിരിപ്പിച്ചു  കൊല്ലും  കമന്റോളികൾ	Prasad Mg	7	False	None	People_and_Blogs	Oh poor girl, the commentaries will kill you with laughter	('NEGATIVE', 0.9495005011558533)	('POSITIVE', 0.9873881936073303)	NEG: 	others: 	:	1
UgzZHVvBpSBKNhBLMdN4AaABAg	ആളുകൾ മണ്ടന്മാർ ആകാൻ തയാറായി നിൽക്കുകയാണ് 	Girija Sekhar	12	False	None	People_and_Blogs	People are willing to be stupid	('NEGATIVE', 0.5281388759613037)	('NEGATIVE', 0.9803367257118225)	NEG: 	disgust: 	:	1
Ugxyg-Bl0gVrS1ozHyh4AaABAg	നിങ്ങളാണ് സത്യം പക്ഷേ ഇവിടെ സത്യത്തിന് ഒരു വിലയുമില്ലദൈവം നിങ്ങളെ രക്ഷിക്കട്ടെ	shibu abi	1.5K	False	None	People_and_Blogs	You are the truth but truth has no value here God save you	('NEGATIVE', 0.9900802969932556)	('NEGATIVE', 0.7027518153190613)	NEG: 	others: 	:	1
UgxJmKqpfhVQDCJDAcZ4AaABAg	ദൈവമേ കാത്തോളണെ	Lakshmi VK	2	False	None	People_and_Blogs	God wait	('POSITIVE', 0.6186548471450806)	('NEGATIVE', 0.9890527129173279)	POS: 	others: 	:	1
UgzTEjp6K2QfvCzekYN4AaABAg	ദൈവമെ പിണറായി എന്ന മഹാ ആപത്തിൽ നിന്നു കേരളത്തെ രക്ഷിക്കണമെ	B Jacob	21	False	None	People_and_Blogs	Let's save Kerala from the great danger of God Pinarayi	('POSITIVE', 0.884559154510498)	('NEGATIVE', 0.6546822786331177)	NEU: 	others: 	:	1
UgwPdWgTcXuUzFZborB4AaABAg	ഇത്രയും  വൃത്തികെട്ട ക്രൂര മനസുള്ള ചേന്നായ് ക്കളും ഉണ്ടല്ലോ  നമ്മുടെ കേരളത്തിൽ ഇതിനുള്ള  ശിക്ഷ  ദൈവം  തീർച്ചയായും നൽകും ആ  ഭർത്താവ് തല്ലി യതിൽ  ഒരു തെറ്റും ഇല്ല	Shyma Vijayan	375	False	None	People_and_Blogs	There are such dirty and cruel minded chennais in our Kerala, God will surely give the punishment for this, there is nothing wrong in beating that husband.	('POSITIVE', 0.673265814781189)	('NEGATIVE', 0.7349549531936646)	NEG: 	disgust: 	aggressive :   	1
UgwDGpVJsrjAiuJXesp4AaABAg	ഇനിയും ധാരാളം  ആൾക്കാരെ സഹായിക്കാൻ ദൈവം അനുഗ്രഹിക്കട്ടെ മനസ്സിലെ നന്മകൾ സത്പ്രവർത്തിക്കൽ ആയി തീരട്ടെ	NG 77	350	False	None	People_and_Blogs	May God bless you to help many more people and may the goodness in your heart become good deeds	('POSITIVE', 0.9973857998847961)	('POSITIVE', 0.994596540927887)	POS: 	joy: 	:	1
Ugx3ljK6zTSU_afKHid4AaABAg	വിനയ് എത്ര നല്ല കുട്ടിയാണ് മോന് അച്ഛനെയും അമ്മയെയും ഉടനെതന്നെ കിട്ടട്ടെ ഭഗവാൻ അനുഗ്രഹിക്കട്ടെ	Shaji P	143	False	None	People_and_Blogs	Vinay is such a good boy, may he find his father and mother soon, may God bless him	('POSITIVE', 0.9348569512367249)	('POSITIVE', 0.9977331161499023)	POS: 	joy: 	:	1
UgygYOQoWnc5R5VzHbl4AaABAg	രണ്ടു പേരെയും നമിക്കുന്നു ദൈവം രണ്ടു പേരെയും അനുഗ്രഹിക്കട്ടെ 	AJITH MUKUNDHAN	295	False	None	People_and_Blogs	Kudos to both of them and may God bless them both	('POSITIVE', 0.994786262512207)	('POSITIVE', 0.9993875026702881)	POS: 	joy: 	:	1
Ugz5iMMDq30oU2toFrx4AaABAg	അഭിനന്ദനങ്ങൾ ചേച്ചി ദുരിതപൂർണ്ണമായ ജീവിതത്തിൽ നിന്നും പോരാടി വിജയിച്ച ചേച്ചി മറ്റുള്ളവർക്കു കൂടി മാത്യക ആകട്ടെ ഈശ്വരൻ അനുഗ്രഹിക്കട്ടെ 	Jc Adoor	2	False	None	People_and_Blogs	Congratulations sister, you have fought and won from a miserable life, may God bless you and be a mentor to others.	('POSITIVE', 0.992347240447998)	('POSITIVE', 0.9910888671875)	POS: 	joy: 	:	1
UgwYwbcw-BPR3RjFevd4AaABAg	ഇപ്പോൾ നീതി ദേവത കണ്ണ് അടച്ചിരിക്കുന്നു ചേട്ടന്റെ കൂടെ ദൈവം ഉണ്ട് 	Marykutty Abraham	65	False	None	People_and_Blogs	Now the goddess of justice has closed her eyes and God is with the brother	('POSITIVE', 0.9869289398193359)	('POSITIVE', 0.9990192651748657)	NEU: 	others: 	:	1
UgzFp8EVCDmsnYBLgEZ4AaABAg	എല്ലാ ആശുപത്രികളിലേയും അവസ്ഥ സമാനമാണ്അതിന്റെ ഉള്ളിൽ കേറിയാൽ ജീവനോടെ പുറത്തു വരുന്നത് ഓരോരുത്തരുടേയും അയുസ്സിന്റെ ബലം കൊണ്ടു മാത്രമാണ്ഈശ്വരോ രക്ഷതു	edathilsatishkumar Kumar	6	False	None	People_and_Blogs	The condition in all the hospitals is the same, if you get inside you come out alive only by the strength of everyone's life, God is saved.	('POSITIVE', 0.834364652633667)	('POSITIVE', 0.9953935146331787)	NEU:  	joy: 	:	1
UgwSEp4hV-y2n43Wfu54AaABAg	വളരെ  സന്തോഷം  വിനുവിന്റെ  ഇന്നത്തെ  സന്തോഷം  കണ്ടിട്ട്  ഈ  കൂട്ട്  എന്നും  സന്തോഷം  പങ്കിട്ടു  ജീവിക്കട്ടെ   ദൈവം  അനുഗ്രഹിക്കട്ടെ 	M. M	888	False	None	People_and_Blogs	I am so happy to see Vinu's happiness today, may God bless this group and share happiness forever	('POSITIVE', 0.9986295700073242)	('POSITIVE', 0.9974186420440674)	POS: 	joy: 	:	1
UgxBszfVohmVO4BhCSl4AaABAg	രണ്ടുപേരെയും ദൈവം ഒരുപാടു അനുഗ്രഹിക്കട്ടെ  ഈശ്വരാ  കണ്ണു നിറഞ്ഞു 	അപ്പു ❤	778	False	None	People_and_Blogs	May God bless both of them abundantly	('POSITIVE', 0.9955690503120422)	('POSITIVE', 0.9973872303962708)	POS: 	joy: 	:	1
Ugw6KR5Z_nKdtnSafTd4AaABAg	ഈ സഹോദരിക്ക് ഇനിയും ഒരുപാട് ജീവൻ രക്ഷിക്കാനുള്ള ആയുസും ആരോഗ്യവും കൊടുക്കട്ടെ ദൈവം	Sivam Ranjeth	140	False	None	People_and_Blogs	May God give this sister the life and health to save many more lives	('POSITIVE', 0.9890880584716797)	('POSITIVE', 0.9921863079071045)	POS: 	joy: 	:	1
Ugw6VEKSH-z_nKkcaFx4AaABAg	പാമ്പിനെ സംരക്ഷിക്കുന്നത് നല്ലത് തന്നെ മനുഷ്യർ മനുഷ്യനെ കണ്ടാൽ പക്ഷെ മതത്തിന്റെ പേരിൽ വെട്ടിക്കൊല്ലുന്നു ഒരു വിരോധാഭാസം	K P Manoj	121	False	None	People_and_Blogs	It is good to protect the snake when humans meet humans but it is a paradox to kill them in the name of religion	('NEGATIVE', 0.5324839353561401)	('NEGATIVE', 0.9951272010803223)	NEU: 	others: 	hateful : 	1
UgxwI-JVTJgcMljOWJ94AaABAg	ദൈവം എനിക്ക് വേണ്ടി നൽകുന്നത് മാത്രം എനിക്ക് മതി നീതിയും സത്യവും മാത്രം ജയിക്കട്ടെ വിലപ്പെട്ട വാക്കുകൾ നന്ദി 	shibu Alita	91	False	None	People_and_Blogs	Only God gives for me is enough for me let only justice and truth prevail Valuable words Thank you	('POSITIVE', 0.8905999064445496)	('POSITIVE', 0.9943127632141113)	POS: 	joy:  	:	1
UgwYfy0X6cjB7TnaLEF4AaABAg	മണിമാളികകളിൽ ഇരിക്കുന്നവരോടല്ല  വിശപ്പ് എന്താണെന്ന് അതറിഞ്ഞവരോടു ചോദിച്ചാൽ ലോകത്തിലെ ഏറ്റവും വലിയ വേദന വിശപ്പാണന്നു പറയും ബാബു ഏട്ടനെ ദൈവം അനുഗ്രഹിക്കട്ടെ	Jc Adoor	49	False	None	People_and_Blogs	If you ask those who know what hunger is, not those who sit in bell towers, they will say that hunger is the greatest pain in the world. God bless Babu Ettan.	('POSITIVE', 0.9870190620422363)	('POSITIVE', 0.982484757900238)	NEG:  	others: 	:	1
UgwlOIalN6vbr4dfRNJ4AaABAg	പാവം ചേച്ചി  ആത്മാവിന്  നിത്യ ശാന്തി നൽകട്ടെ ദൈവം  ആ തള്ളയും മകനും ഒരു കാലത്തും ഗുണം പിടിക്കില്ല	Rethul M	5	False	None	People_and_Blogs	May the poor sister's soul rest in eternal peace, God will never take advantage of that mother and her son	('NEGATIVE', 0.5702479481697083)	('POSITIVE', 0.7485688328742981)	NEU: 	sadness: 	:	1
UgyyVyQExUrI_r7mAEp4AaABAg	നല്ല മിടുക്ക് ആയി പോയി സ്വന്തം കുഞ്ഞുങ്ങളെ ഈ നശിച്ച ലോകത്ത് ഒറ്റയ്ക്ക് ആക്കാൻ അവർ എങ്ങനെ സുരക്ഷിതരായി ജീവിക്കും എന്ന് ഓർത്തോ	diya  sreejith	28	False	None	People_and_Blogs	Remember how they will be safe to go and leave their own children alone in this damned world	('POSITIVE', 0.7443761229515076)	('NEGATIVE', 0.9236169457435608)	NEG: 	disgust: 	:	1
UgyzoTRivgYIBGpDuYx4AaABAg	നല്ലതു വരട്ടെ  ഐശ്വര്യം ഉണ്ടാകട്ടെ   ഇനിയും പുതിയ കണ്ടുപിടിത്തങ്ങൾ നടത്തുവാൻ ഈശ്വരൻ അനുഗ്രഹിക്കട്ടെ  ഈ വാർത്ത അവതരിപ്പിച്ച മറുനാടനു0 അവതാരകനും അഭിനന്ദനങ്ങൾ	Raman Bhadrakali	5	False	None	People_and_Blogs	Good luck and prosperity. May God bless you to make new discoveries.	('POSITIVE', 0.9830137491226196)	('POSITIVE', 0.9937060475349426)	POS: 	joy: 	:	1
UgwOZW_7yUkxVpSEg7N4AaABAg	കുറെ പഴഞ്ചൻ ചിന്താഗതിക്കാരായ  കിഴങ്ങൻമാർ ട്രേഡ് യൂനിയനുകളിലുണ്ട് അവർക്ക് വംശനാശം വന്നെങ്കിലേ ഇനി പ്രതീക്ഷയുള്ളു	Surendran Mk	3	False	None	People_and_Blogs	There are a few old-fashioned bastards in the trade unions who have hope for extinction.	('POSITIVE', 0.5461757779121399)	('NEGATIVE', 0.9765012860298157)	NEG: 	disgust: 	:	1
Ugy6EXRXNjuYf5xrpuh4AaABAg	ദൈവം രക്ഷിക്കട്ടെ	KIRAN R S	0	False	None	People_and_Blogs	God save	('POSITIVE', 0.750901460647583)	('NEGATIVE', 0.6692001223564148)	NEU:  	others:  	:	1
UgwfI5QmPjhydt1s4zh4AaABAg	ആർക്കെങ്കിലും ഓർമ്മയുണ്ടോ ഇങ്ങനെയൊന്ന് തുടങ്ങാൻ കോൺഗ്രസ് ആദ്യം തീരുമാനിച്ചപ്പോൾ ദൈവം തമ്പുരാൻ നേരിട്ട് ഇറങ്ങി വന്നാലും ഞങ്ങള് സമ്മതിക്കൂല എന്ന് പറഞ്ഞത്	s	15	False	None	People_and_Blogs	Does anyone remember when the Congress first decided to start something like this and said that even if the Lord God came down in person, we would not agree.	('NEGATIVE', 0.9680783748626709)	('NEGATIVE', 0.9756246209144592)	NEU: 	others: 	:	1
Ugw5vD8WhoCRCvqtaB54AaABAg	ചന്ദ്രബാബു സാറിന്റെ സത്യസന്ധതഅധികാര മോഹം ഇല്ലാത്ത നല്ല മനസ്സിന്റെ ഉടമ 	prasannakumar p	81	False	None	People_and_Blogs	Chandrababu Sir's honesty, possessing a good mind without lust for power	('POSITIVE', 0.9985055923461914)	('POSITIVE', 0.9988982677459717)	POS: 	others: 	:	1
UgzA5fJgGjCS1W6AZc14AaABAg	മോദിയെ കൊല്ലരുത്ഈ ധൈര്യം ചാൾസ്ശോഭരാജിന് മാത്രമേ കണ്ടിട്ടുള്ളൂ	RAJAN CHENNEDATH	4	False	None	People_and_Blogs	Don't kill Modi Only Charles Shobharaj has seen this courage	('NEGATIVE', 0.6048787832260132)	('POSITIVE', 0.9859399795532227)	NEU: 	others: 	:	1
UgxFRV-22d6eFSY1TW14AaABAg	ഇത്തരം വൃത്തികെട്ടവന്മാരെ വളർത്തിഎടുത്ത പ്രസ്ഥാനം ലോകത്തിൽ എവിടെയും കാണില്ല	satheesh muriyamangalath	350	False	None	People_and_Blogs	Nowhere else in the world can you find a movement that has bred such ugly people	('NEGATIVE', 0.9822872281074524)	('NEGATIVE', 0.9997615218162537)	NEG: 	disgust: 	:	1
Ugz1OSAF1rJPA5pgzAB4AaABAg	നല്ല മനസ്സുള്ള നന്മയോടെ കുട്ടികളെ വളർത്തിയ ഒരു അച്ഛനും അദ്ദേഹത്തിന് ചേരുന്ന ഭാര്യയും  ദൈവം എന്നും ഈ കുടുംബത്തിന്റെ കൂടെ ഉണ്ടാവട്ടെ	sanal kumar pn	1.1K	False	None	People_and_Blogs	May God be with this family forever, a father who raised children with a good heart and a good wife	('POSITIVE', 0.998938262462616)	('POSITIVE', 0.996367335319519)	POS: 	joy: 	:	1
Ugx63fjZ-gp6MKhxIMJ4AaABAg	അമ്മയുടെ അനുഗ്രഹം അതോടൊപ്പം ആ വള നല്കിയ ആ നല്ലമനസ്സിനുടമ ആയ ആ സ്ത്രി  ദൈവം ഉണ്ട് ഇത് പോലെ കണ്ണുകൾ കൊണ്ട് കാണാൻ കഴിയുന്ന സംസാരിക്കാൻ കഴിയുന്ന ചില മനസ്സുകളിൽ	ചങ്കാണ് ലാലേട്ടന്	58	False	None	People_and_Blogs	Mother's blessing along with that good-hearted woman God who gave that bangle is in some minds that can see with eyes like this and can speak.	('POSITIVE', 0.9924503564834595)	('POSITIVE', 0.9960541725158691)	POS: 	joy: 	:	1
UgxtVtTXo-5CJ_TS5394AaABAg	സിപ്സിയുടെ മകന് 35വയസ്സ്  അമ്മയായ സിപ്സിക്ക് 39 വയസ്സ് അമ്മയും മകനും 4വയസ്സിന്റെ വിത്യാസം പൊളിച്ചു 	Sanu Saneesh	18	False	None	People_and_Blogs	Gypsy's son is 35 years old Gypsy's mother is 39 years old Mother and son have bridged the age gap of 4 years	('POSITIVE', 0.997414231300354)	('POSITIVE', 0.9834222793579102)	NEU: 	others: 	:	1
UgzmxA_C-vwP9w1Fmnl4AaABAg	ഈ  മാതാപിതാക്കളെ  ദൈവം  അനുഗ്രഹിക്കട്ടെ 	Baby Thomas	168	False	None	People_and_Blogs	God bless these parents	('POSITIVE', 0.9579789638519287)	('POSITIVE', 0.9974367022514343)	POS: 	joy: 	:	1
UgxxVRcLUxVcyj-GSKJ4AaABAg	പിരി പിടിച്ച ആണുങ്ങളും പെണ്ണുങ്ങളും കാരണം കേരളം തുലഞ്ഞു എല്ലാത്തിനും കട്ട കാമ പ്രാന്ത് 	അബി	162	False	None	People_and_Blogs	Because of separated men and women, Kerala has become a place of lust for everything	('POSITIVE', 0.9829583764076233)	('POSITIVE', 0.9976135492324829)	NEG: 	disgust: 	:	1
UgzwXHeGboIIYo70PxJ4AaABAg	പെണ്ണുങ്ങൾ തമ്മിൽ ഒക്കില്ല കേട്ടിട്ടില്ലേ നാലു മുലകൾ ഒക്കില്ല എന്നു അതുകൊണ്ടാണ് ആണുങ്ങളെ തേടി പോകുന്നത് എന്തായാലും ഈ ഞരമ്പ് രോഗി കാരണം മാന്യമായി മേക്കപ്പ് നടത്തുന്ന ആണുങ്ങളുടെ അന്നം കൂടി മുട്ടി 	ANAND K.C	37	False	None	People_and_Blogs	Have you ever heard that women don't agree with each other because they say four breasts don't agree with each other, that's why they go looking for men. Anyway, because of this neurotic patient, the days of men who wear makeup decently have come.	('POSITIVE', 0.8773981332778931)	('NEGATIVE', 0.8373813033103943)	NEG: 	others: 	:	1
UgxFS8EBBXIHD8VwXIZ4AaABAg	നല്ലൊരു സുന്ദരി മോള്  നല്ല പക്വത ഉള്ള സംസാരം വേഗം സുഖമാവട്ടെ  ദൈവം അനുഗ്രഹിക്കട്ടെ 	Ashly Baby	2.6K	False	None	People_and_Blogs	Nice beautiful mole with mature speech get well soon God bless	('POSITIVE', 0.9915209412574768)	('POSITIVE', 0.9816190004348755)	POS: 	joy: 	:	1
Ugz_eojUvl0-H-htzch4AaABAg	പാവം കുട്ടി എത്ര വിഷമിക്കുണ്ടാകും ദൈവം എത്രയും വേഗം സുഖപ്പെടുത്താൻ ഇടയാകട്ടെ പ്രാർത്ഥിക്കാം 	Rathnavally Valiyaparambil	1.6K	False	None	People_and_Blogs	The poor child must be in so much trouble, let's pray that God heals him as soon as possible	('NEGATIVE', 0.9929537177085876)	('NEGATIVE', 0.9938003420829773)	NEG:  	sadness: 	:	1
UgwuyjxBp_kONrFT4FB4AaABAg	ഇ ലോകത്തിലെ കാണപെട്ടാ ദൈവം ആണ് മുതുകാട് സാർറിനെ പോലെ ഉള്ള ആളുകൾ ദൈവം അനുഗ്രഹിക്കട്ടെ	Joshy Mathew	13	False	None	People_and_Blogs	May God bless people like Mutukad Sarr who is the only God in this world	('POSITIVE', 0.9595298171043396)	('POSITIVE', 0.9929103255271912)	POS: 	joy: 	:	1
UgyqgeWNGAgnT-OsZkt4AaABAg	ഇത് പേടിച്ചു വീടിനുള്ളിൽ ഒളിച്ചിരിക്കേണ്ട സമയം അല്ല എല്ലാവരും ധൈര്യത്തോടെ ഒരുമിച്ചു നിൽക്കുകദൈവം നിങ്ങളുടെ കൂടെ ഉണ്ട് അതു മതി വിജയം നിങ്ങൾക്ക് തന്നെ ആകും 	malavika menon	103	False	None	People_and_Blogs	This is not the time to be scared and hide inside the house everyone stand together with courage God is with you and that is enough success will be yours	('POSITIVE', 0.9790078401565552)	('POSITIVE', 0.9978014826774597)	POS: 	joy: 	:	1
